sentence,item_start,item_end,amount_start,amount_end
"During the season, dates goes for 16130 rupees these days.",19,24,34,39
"Today, Bought turmeric today and paid 12679 INR.",14,22,38,43
"Recently, Market sale of Pomegranate gave 18591 rupees.",25,36,42,47
Sale price of ghee was 39594 ₹.,14,18,23,28
"Yesterday, Used 38039 ₹ to buy jackfruit.",31,40,16,21
"Last month, We sold Papaya for 34061 rupees today.",20,26,31,36
"Early morning, Farmer earned 13331 rupees from herbicide sales.",47,56,29,34
"Recently, Carrot goes for 25712 Rs. these days.",10,16,26,31
"Just now, The expense for soybean seeds was 11542 Rs..",26,39,44,49
"In March, I spent 48114 Rs. on Peach last month.",31,36,18,23
"Early morning, Farmer earned 28290 ₹ from eggplant saplings sales.",42,59,29,34
"Earlier today, Harvest of ducks brought in 17476 Rs..",26,31,43,48
"Yesterday, The cost of tomato plants is 26335 INR.",23,36,40,45
"In March, Total earnings from Date Palm were 29408 rupees.",30,39,45,50
"Earlier today, The cost of Peas is 35779 rupees.",27,31,35,40
"In the evening, Amount paid for rotavator was 35961 ₹.",32,41,46,51
"Yesterday, This season, I paid 28809 ₹ for Green Beans.",43,54,31,36
"A week ago, Farmer earned 41138 INR from coconut tree sales.",41,53,26,31
Payment of 709 Rs. was made for Sweet Potato.,32,44,11,14
"Earlier today, Today’s market rate for cotton bales is 47399 Rs..",39,51,55,60
"During the season, I invested 45396 Rs. for buying buffalo.",51,58,30,35
Radish was sold for 12544 ₹ yesterday.,0,6,20,25
"During the season, Quoted price for tractor repair is 40594 ₹.",36,50,54,59
"Recently, For avocados, the price was 19859 ₹.",14,22,38,43
"In the evening, Spent 34254 ₹ on purchasing solar panels for my farm.",44,56,22,27
"Earlier today, Total earnings from biogas plant were 37665 ₹.",35,47,53,58
"In March, Quoted price for marigold flowers is 15525 ₹.",27,43,47,52
"Today, Rs. 48235 was spent on corn seeds.",30,40,11,16
"Today, Received 25226 INR from selling Mulberry.",39,47,16,21
"During the season, The bill for weed killer came to 11542 INR.",32,43,52,57
"Recently, Pear goes for 17119 rupees these days.",10,14,24,29
"On Monday, Total earnings from turkeys were 27507 Rs..",31,38,44,49
"Last month, Settled 17785 Rs. for Mango purchase.",34,39,20,25
"A week ago, The expense for apples was 37665 INR.",28,34,39,44
"Just now, I gave 13346 rupees as investment for Jackfruit.",48,57,17,22
"In March, ₹14823 was given to buy Kiwi.",34,38,11,16
"Just now, Today’s market rate for almond trees is 41864 Rs..",34,46,50,55
"Last month, The market price of Beet root was 40100 Rs..",32,41,46,51
"Just now, Advance of 43459 INR paid for rose plants.",40,51,21,26
"In March, Paid full amount 33838 ₹ for harvesting machine delivery.",39,57,27,32
"Just now, Amount due for cabbage plants is 9485 ₹.",25,39,43,47
"Just now, The market price of apples was 43715 ₹.",30,36,41,46
"Today, avocados fetched 22168 INR at the auction.",7,15,24,29
"Yesterday, The invoice for Sweet Corn shows 8150 ₹.",27,37,44,48
"Recently, irrigation pipe purchase cost us 41300 INR.",10,25,43,48
Received 30980 rupees from selling cotton bales.,35,47,9,14
"Early morning, Settled 999 Rs. for water trough purchase.",35,47,23,26
"Recently, Harvested Strawberry and sold for 18769 ₹.",20,30,44,49
"Today, Purchased almond trees at 11814 Rs..",17,29,33,38
"During the season, Sold banana plants in the market and earned 13278 rupees.",24,37,63,68
"Today, Purchased Brinjal at 5201 Rs..",17,24,28,32
"Last month, poultry cage is worth 24687 INR now.",12,24,34,39
Payment of 7782 rupees was made for drip irrigation system.,36,58,11,15
"Recently, This season, I paid 23252 Rs. for Onion.",44,49,30,35
onion seeds purchase cost us 29778 rupees.,0,11,29,34
"A week ago, Sale price of seedling trays was 1844 rupees.",26,40,45,49
"In the evening, Got 42051 rupees for palm oil this morning.",37,45,20,25
Bought tractor repair today and paid 9972 INR.,7,21,37,41
"In the evening, mulberry is billed at 41126 Rs..",16,24,38,43
"On Monday, Harvest of fish feed brought in 8460 Rs..",22,31,43,47
"A week ago, ₹43715 was given to buy ducks.",36,41,13,18
"Just now, papaya tree is fetching 9959 rupees this season.",10,21,34,38
"Just now, The bill for ginger came to 18937 Rs..",23,29,38,43
"A week ago, The cost of mango saplings is 25724 INR.",24,38,42,47
"In the evening, The market price of Lychee was 28876 Rs..",36,42,47,52
"In the evening, Purchased milking machine at 23365 INR.",26,41,45,50
"For harrow, the price was 47202 ₹.",4,10,26,31
"Early morning, buffalo goes for 49466 rupees these days.",15,22,32,37
"A week ago, We bought drip irrigation system for 40601 rupees at the weekly market.",22,44,49,54
"Yesterday, I spent 8150 ₹ on pesticide last month.",29,38,19,23
"Yesterday, sugarcane purchase cost us 40116 INR.",11,20,38,43
"Earlier today, Farmer purchased sugarcane for 33719 rupees.",32,41,46,51
"On Monday, Bought Guava today and paid 7829 INR.",18,23,39,43
"On Monday, In the local market, Date Palm is priced at 16573 ₹.",32,41,55,60
"Yesterday, The market price of Banana was 6921 Rs..",31,37,42,46
"A week ago, Bought mango saplings today and paid 15423 ₹.",19,33,49,54
"Last month, Today, onion seeds is sold for 14333 ₹.",19,30,43,48
"Recently, Spent 1874 rupees on purchasing fish fingerlings for my farm.",42,58,16,20
milk fetched 43429 rupees at the auction.,0,4,13,18
"Just now, We sold Custard Apple for 26787 Rs. today.",18,31,36,41
Quoted price for fish fingerlings is 37156 Rs..,17,33,37,42
"Just now, We bought Tamarind for 35483 rupees at the weekly market.",20,28,33,38
"Today, Bought Brinjal today and paid 24852 rupees.",14,21,37,42
"Last month, Around noon, I spent 10741 INR on ghee.",46,50,33,38
"A week ago, Settled 3647 Rs. for cabbage plants purchase.",33,47,20,24
"In the evening, Bought honey extractor today and paid 40489 INR.",23,38,54,59
"Last month, The bill for Radish came to 36060 Rs..",25,31,40,45
"In March, Used 7782 Rs. to buy fishing nets.",31,43,15,19
"During the season, tomato plants was given for 2944 rupees per kilo.",19,32,47,51
"Yesterday, Total earnings from cow were 28376 Rs..",31,34,40,45
"In the evening, The market price of rice seeds was 9284 rupees.",36,46,51,55
"In the evening, Got 41456 ₹ for Custard Apple this morning.",32,45,20,25
"A week ago, For rotavator, the price was 29268 Rs..",16,25,41,46
"In the evening, The bill for Lady Finger came to 35359 rupees.",29,40,49,54
"Just now, Amount paid for Radish was 4764 INR.",26,32,37,41
Farmer purchased strawberry plants for 23591 ₹.,17,34,39,44
"On Monday, For pumpkin seeds, the price was 29529 ₹.",15,28,44,49
The invoice for dragon fruit shows 1844 ₹.,16,28,35,39
"Last month, I spent 13271 Rs. on Banana last month.",33,39,20,25
"Last month, Settled 43090 INR for farm fencing purchase.",34,46,20,25
"Early morning, Sale price of solar panels was 26453 ₹.",29,41,46,51
"Last month, Today’s market rate for Lady Finger is 6892 ₹.",36,47,51,55
"On Monday, Settled 31550 rupees for mulberry purchase.",36,44,19,24
"In the evening, The expense for corn seeds was 21637 ₹.",32,42,47,52
"Earlier today, In the local market, pepper is priced at 30717 rupees.",36,42,56,61
The expense for Onion was 13837 INR.,16,21,26,31
"In March, Settled 44223 rupees for honey extractor purchase.",35,50,18,23
"Yesterday, Papaya price today is 7937 rupees.",11,17,33,37
"Yesterday, Advance of 6892 rupees paid for Spinach.",43,50,22,26
papaya purchase cost us 16680 rupees.,0,6,24,29
"Early morning, We sold mango saplings for 6500 ₹ today.",23,37,42,46
"Early morning, Settled 24118 rupees for Tomato purchase.",40,46,23,28
"During the season, Today’s market rate for Radish is 22300 rupees.",43,49,53,58
"Today, ₹15429 was given to buy ghee.",31,35,8,13
"Recently, Used 4614 rupees to buy fertilizer.",34,44,15,19
"Early morning, Farmer purchased harvesting machine for 36867 rupees.",32,50,55,60
"A week ago, Today, milking machine is sold for 34405 Rs..",19,34,47,52
buffalo price today is 28014 rupees.,0,7,23,28
"During the season, In the local market, jasmine plants is priced at 3497 INR.",40,54,68,72
"During the season, Current rate of fungicide is 8639 INR.",35,44,48,52
They charged 28105 rupees for wind turbines.,30,43,13,18
"Recently, I spent 9804 ₹ on biogas plant last month.",28,40,18,22
"Yesterday, Harvested pesticide and sold for 42285 ₹.",21,30,44,49
"In March, We sold sheep for 29262 rupees today.",18,23,28,33
"Recently, Radish is worth 16664 Rs. now.",10,16,26,31
"Last month, We spent 13546 Rs. on pigs repair.",34,38,21,26
"In the evening, I spent 10088 Rs. on goat pen last month.",37,45,24,29
"Just now, Around noon, I spent 43059 Rs. on oranges.",44,51,31,36
"Early morning, This season, I paid 1044 rupees for sugarcane.",51,60,35,39
Harvest of Apricot brought in 38899 Rs..,11,18,30,35
"Earlier today, poultry cage price today is 43471 INR.",15,27,43,48
"During the season, Advance of 20038 rupees paid for Banana.",52,58,30,35
"On Monday, Farmer earned 31071 rupees from avocados sales.",43,51,25,30
"Today, In the local market, carrot seeds is priced at 30327 rupees.",28,40,54,59
₹22732 was given to buy palm oil.,24,32,1,6
"On Monday, Pumpkin goes for 12940 Rs. these days.",11,18,28,33
"Just now, Payment of 21221 ₹ was made for Radish.",42,48,21,26
"Today, Today’s market rate for bonsai trees is 48709 INR.",31,43,47,52
"On Monday, farm fencing price today is 45184 INR.",11,23,39,44
"On Monday, They charged 41269 ₹ for fungicide.",36,45,24,29
"During the season, I invested 261 INR for buying donkeys.",49,56,30,33
"Recently, Total earnings from tractor repair were 44075 ₹.",30,44,50,55
"Today, Beetroot is billed at 3047 INR.",7,15,29,33
"Earlier today, We bought blackberry plants for 38708 rupees at the weekly market.",25,42,47,52
"Last month, This season, I paid 22732 rupees for soil test kit.",49,62,32,37
"Yesterday, Total earnings from herbicide were 15353 INR.",31,40,46,51
Farmer purchased watermelon plants for 12729 INR.,17,34,39,44
"Around noon, I spent 5301 Rs. on Capsicum.",33,41,21,25
"Today, We bought rotavator for 44930 INR at the weekly market.",17,26,31,36
"During the season, Bitter Gourd fetched 29011 rupees at the auction.",19,31,40,45
"Recently, Bottle Gourd is worth 1787 ₹ now.",10,22,32,36
"In March, palm oil is worth 15811 Rs. now.",10,18,28,33
"Today, Received 22385 ₹ from selling Cauliflower.",37,48,16,21
"Earlier today, Farmer purchased almond trees for 23798 rupees.",32,44,49,54
"In March, The cost of Apricot is 32898 ₹.",22,29,33,38
"Early morning, ₹6908 was given to buy biogas plant.",38,50,16,20
"Yesterday, Rs. 10022 was spent on fish feed.",34,43,15,20
"Recently, ducks was sold for 44585 rupees yesterday.",10,15,29,34
"Just now, Rs. 8815 was spent on Bitter Gourd.",32,44,14,18
"Just now, poultry cage is fetching 23907 Rs. this season.",10,22,35,40
"Recently, The invoice for strawberry plants shows 24156 ₹.",26,43,50,55
"Last month, Got 38436 INR for cotton bales this morning.",30,42,16,21
"Yesterday, The invoice for irrigation pipe shows 34410 ₹.",27,42,49,54
"Earlier today, We sold Lychee for 19190 INR today.",23,29,34,39
"During the season, We spent 1265 rupees on milk repair.",43,47,28,32
"On Monday, They charged 27475 Rs. for Fig.",38,41,24,29
"During the season, I gave 3053 INR as investment for sunflower seeds.",53,68,26,30
Advance of 837 ₹ paid for silo repair.,26,37,11,14
"Today, Cost of sunflower seeds amounted to 33547 Rs..",15,30,43,48
"Early morning, coconut trees is fetching 32144 Rs. this season.",15,28,41,46
Quoted price for marigold flowers is 16077 rupees.,17,33,37,42
"Last month, olive saplings goes for 12380 Rs. these days.",12,26,36,41
"Early morning, Sold cotton bales in the market and earned 3628 ₹.",20,32,58,62
"In the evening, Current rate of buffalo is 10985 INR.",32,39,43,48
"Today, sunflower seeds is worth 26278 INR now.",7,22,32,37
"Just now, In the local market, sprinkler system is priced at 9560 Rs..",31,47,61,65
"In March, garlic bulbs fetched 35065 INR at the auction.",10,22,31,36
"In the evening, Farmer purchased solar for 33044 INR.",33,38,43,48
"Today, I invested 6715 INR for buying fertilizer.",38,48,18,22
"Earlier today, Today, plough repair is sold for 26334 ₹.",22,35,48,53
"Last month, fertilizer is fetching 23886 ₹ this season.",12,22,35,40
"During the season, Total earnings from jackfruit were 4741 rupees.",39,48,54,58
"Today, Amount due for oranges is 35447 INR.",22,29,33,38
Sold olive saplings in the market and earned 619 rupees.,5,19,45,48
"Earlier today, Got 43134 rupees for beehives this morning.",36,44,19,24
"Yesterday, I gave 46051 rupees as investment for rice seeds.",49,59,18,23
"Earlier today, Spent 40894 rupees on purchasing Carrot for my farm.",48,54,21,26
"During the season, The cost of papaya tree is 2401 INR.",31,42,46,50
"Early morning, drip irrigation system is fetching 28612 ₹ this season.",15,37,50,55
"Earlier today, We spent 42884 rupees on Jackfruit repair.",40,49,24,29
"A week ago, Harvested lily bulbs and sold for 14863 Rs..",22,32,46,51
"In the evening, Harvest of cheese brought in 30888 ₹.",27,33,45,50
"In the evening, The market price of Lady Finger was 14990 Rs..",36,47,52,57
jamun saplings purchase cost us 38771 rupees.,0,14,32,37
"Today, milking machine is billed at 29921 ₹.",7,22,36,41
"A week ago, The bill for drip irrigation kit came to 9284 INR.",25,44,53,57
"In the evening, Sold palm oil in the market and earned 4237 Rs..",21,29,55,59
"In the evening, Bought chickens today and paid 30400 rupees.",23,31,47,52
"Recently, Today, donkeys is sold for 40333 Rs..",17,24,37,42
"Today, Paid 6357 ₹ to buy poultry feed.",26,38,12,16
"Early morning, Settled 7324 rupees for goats purchase.",39,44,23,27
"Recently, Used 325 INR to buy Mulberry.",30,38,15,18
"In March, Received 32730 ₹ from selling Apricot.",40,47,19,24
"A week ago, The invoice for apples shows 8843 rupees.",28,34,41,45
"Earlier today, Amount due for greenhouse setup is 39520 rupees.",30,46,50,55
"A week ago, Current rate of pesticide is 31950 INR.",28,37,41,46
"Yesterday, eggplant saplings purchase came to 23341 rupees.",11,28,46,51
"During the season, Sale price of guava was 46378 rupees.",33,38,43,48
"In March, Payment of 20527 INR was made for silo repair.",44,55,21,26
"Yesterday, Market sale of nursery plants gave 37449 INR.",26,40,46,51
I invested 34410 rupees for buying Sweet Corn.,35,45,11,16
"Yesterday, Market sale of yogurt gave 17354 INR.",26,32,38,43
"On Monday, Market sale of blackberry plants gave 10547 rupees.",26,43,49,54
"Earlier today, Total earnings from Bitter Gourd were 9097 Rs..",35,47,53,57
poultry feed purchase came to 17784 rupees.,0,12,30,35
"Early morning, I gave 24918 rupees as investment for sugarcane.",53,62,22,27
"Early morning, Got 23223 Rs. for mango saplings this morning.",33,47,19,24
"Today, Radish was given for 8639 ₹ per kilo.",7,13,28,32
"In the evening, Cost of garlic bulbs amounted to 38649 ₹.",24,36,49,54
"In March, Harvested cow and sold for 14120 rupees.",20,23,37,42
"Last month, eggplant saplings purchase cost us 30172 ₹.",12,29,47,52
"During the season, Received 29574 ₹ from selling duck feed.",49,58,28,33
"In March, Current rate of figs is 3053 rupees.",26,30,34,38
"During the season, Paid 15733 ₹ to buy Green Beans.",39,50,24,29
"On Monday, Purchased fish feed at 38443 ₹.",21,30,34,39
"In the evening, In the local market, Kiwi is priced at 10205 ₹.",37,41,55,60
"Recently, Cost of coconut tree amounted to 11652 ₹.",18,30,43,48
"A week ago, Today, tomato plants is sold for 6631 Rs..",19,32,45,49
"In the evening, Around noon, I spent 2178 Rs. on carrot seeds.",49,61,37,41
"In the evening, Turnip is worth 24945 ₹ now.",16,22,32,37
"Earlier today, The market price of solar panels was 12854 INR.",35,47,52,57
"Last month, We sold Mulberry for 34668 ₹ today.",20,28,33,38
"Earlier today, grapes is fetching 7969 INR this season.",15,21,34,38
"Early morning, horses purchase came to 15429 ₹.",15,21,39,44
"During the season, Amount due for Fig is 23390 Rs..",34,37,41,46
"Recently, In the local market, harrow is priced at 19507 ₹.",31,37,51,56
"In the evening, oranges purchase cost us 5223 Rs..",16,23,41,45
"Just now, ₹26787 was given to buy Cucumber.",34,42,11,16
"Yesterday, Spent 16489 Rs. on purchasing rose plants for my farm.",41,52,17,22
"Last month, We spent 22181 rupees on Lychee repair.",37,43,21,26
"Yesterday, sheep is worth 24811 Rs. now.",11,16,26,31
"Earlier today, Harvest of aquaculture supplies brought in 35070 ₹.",26,46,58,63
I spent 44310 INR on Cauliflower last month.,21,32,8,13
Total earnings from wind turbines were 8543 Rs..,20,33,39,43
Rs. 7451 was spent on jackfruit tree.,22,36,4,8
"A week ago, Farmer earned 12755 Rs. from cotton bales sales.",41,53,26,31
"On Monday, This season, I paid 34135 ₹ for mango tree.",43,53,31,36
"Just now, Farmer earned 37013 INR from pigs sales.",39,43,24,29
"Recently, Total earnings from sunflower seeds were 48447 rupees.",30,45,51,56
"In March, Farmer purchased hay bales for 1872 INR.",27,36,41,45
"A week ago, Total earnings from cheese were 13078 ₹.",32,38,44,49
"A week ago, Rs. 19824 was spent on chickens.",35,43,16,21
"Early morning, Amount due for mango saplings is 36075 rupees.",30,44,48,53
"In the evening, I gave 44076 ₹ as investment for Cabbage.",49,56,23,28
"Today, Used 20888 ₹ to buy donkeys.",27,34,12,17
"Recently, We bought dates for 47377 ₹ at the weekly market.",20,25,30,35
"During the season, Rs. 35359 was spent on Pear.",42,46,23,28
"Yesterday, We bought Fig for 17785 ₹ at the weekly market.",21,24,29,34
"A week ago, Got 16900 rupees for Tamarind this morning.",33,41,16,21
"Yesterday, Amount due for sheep is 49712 ₹.",26,31,35,40
"Recently, They charged 377 ₹ for Jackfruit.",33,42,23,26
"Earlier today, Farmer earned 17601 rupees from banana plants sales.",47,60,29,34
Market sale of Brinjal gave 45019 rupees.,15,22,28,33
"Recently, I invested 14884 ₹ for buying papaya tree.",40,51,21,26
The bill for raspberry plants came to 45064 ₹.,13,29,38,43
"During the season, Purchased fish feed at 37031 INR.",29,38,42,47
"In March, jackfruit purchase cost us 39689 rupees.",10,19,37,42
"A week ago, Harvested soil test kit and sold for 42851 Rs..",22,35,49,54
"In the evening, Current rate of apples is 40065 INR.",32,38,42,47
"Just now, We spent 27454 INR on pigs repair.",32,36,19,24
"In the evening, They charged 14669 Rs. for bonsai trees.",43,55,29,34
"Recently, I gave 28439 rupees as investment for fertilizer.",48,58,17,22
"On Monday, Advance of 3286 Rs. paid for maize.",40,45,22,26
"Last month, Date Palm purchase came to 36581 Rs..",12,21,39,44
"During the season, Sold Grapes in the market and earned 19830 INR.",24,30,56,61
"For grapes, the price was 7615 rupees.",4,10,26,30
"Today, Sold Peas in the market and earned 22981 INR.",12,16,42,47
"Recently, Farmer earned 9622 ₹ from coconut trees sales.",36,49,24,28
"During the season, For Kiwi, the price was 11542 Rs..",23,27,43,48
Lychee is worth 19830 INR now.,0,6,16,21
"Today, They charged 42901 Rs. for Radish.",34,40,20,25
"Yesterday, They charged 29718 Rs. for almond trees.",38,50,24,29
"Last month, Received 9362 INR from selling sheep.",43,48,21,25
"In March, Acquired Spinach by paying 41456 ₹.",19,26,37,42
"Today, Bought lily bulbs today and paid 14807 ₹.",14,24,40,45
"In March, Amount paid for goat was 23364 Rs..",26,30,35,40
Amount due for sprinkler system is 16764 ₹.,15,31,35,40
"In March, This season, I paid 14148 INR for guava tree.",44,54,30,35
Settled 5985 ₹ for lavender plants purchase.,19,34,8,12
"Today, Paid full amount 13327 Rs. for harrow delivery.",38,44,24,29
"During the season, Pumpkin purchase came to 39842 ₹.",19,26,44,49
"Early morning, Amount due for Peas is 15219 INR.",30,34,38,43
"In March, They charged 21913 INR for sheep.",37,42,23,28
"During the season, wheat seeds purchase came to 10768 rupees.",19,30,48,53
"In the evening, Pomegranate was sold for 4144 ₹ yesterday.",16,27,41,45
"Early morning, Settled 30717 INR for ginger purchase.",37,43,23,28
"Last month, Around noon, I spent 16364 rupees on Sweet Corn.",49,59,33,38
"In the evening, Quoted price for Pear is 13672 INR.",33,37,41,46
"Earlier today, The bill for Bitter Gourd came to 18442 ₹.",28,40,49,54
"Today, I invested 36647 rupees for buying guava tree.",42,52,18,23
"Recently, Received 25568 INR from selling raspberry plants.",42,58,19,24
"Earlier today, Current rate of solar water pump is 21854 INR.",31,47,51,56
coconut trees is fetching 9742 rupees this season.,0,13,26,30
"Yesterday, We bought avocados for 26930 Rs. at the weekly market.",21,29,34,39
"Recently, Around noon, I spent 3832 Rs. on Guava.",43,48,31,35
"Today, The market price of Bottle Gourd was 10060 Rs..",27,39,44,49
"Recently, Harvested drip irrigation system and sold for 10552 rupees.",20,42,56,61
"Last month, Today, milk is sold for 4291 rupees.",19,23,36,40
"Early morning, Amount due for rotavator is 21361 Rs..",30,39,43,48
"Early morning, Settled 40409 rupees for Carrot purchase.",40,46,23,28
"Last month, Today, blackberry plants is sold for 16424 Rs..",19,36,49,54
"In the evening, We sold chickens for 45837 ₹ today.",24,32,37,42
"Recently, ₹8639 was given to buy buffalo.",33,40,11,15
"During the season, Sale price of Beet root was 202 rupees.",33,42,47,50
They charged 12679 ₹ for drip irrigation kit.,25,44,13,18
"Today, Spinach purchase came to 16542 Rs..",7,14,32,37
"Just now, Spent 43611 Rs. on purchasing Coconut for my farm.",40,47,16,21
"Just now, I gave 46208 Rs. as investment for ginger.",45,51,17,22
"In the evening, Farmer purchased chili plants for 40065 Rs..",33,45,50,55
"Today, The market price of Cauliflower was 28105 ₹.",27,38,43,48
They charged 34223 INR for sprinkler system.,27,43,13,18
"Today, Cost of Tamarind amounted to 15733 INR.",15,23,36,41
Total earnings from fertilizer were 38182 INR.,20,30,36,41
"Today, The invoice for Sapota (Chikoo) shows 4670 rupees.",23,38,45,49
"Yesterday, We bought Jackfruit for 14837 INR at the weekly market.",21,30,35,40
"Today, Advance of 40999 INR paid for Sweet Potato.",37,49,18,23
"In the evening, Paid full amount 13305 INR for wind turbines delivery.",47,60,33,38
₹12319 was given to buy poultry cage.,24,36,1,6
"Earlier today, Today, banana tree is sold for 12193 Rs..",22,33,46,51
"A week ago, Total earnings from silo repair were 29574 rupees.",32,43,49,54
"Early morning, We bought Blueberry for 7365 rupees at the weekly market.",25,34,39,43
"Recently, Used 5768 Rs. to buy Radish.",31,37,15,19
"In March, wind turbines was given for 42371 Rs. per kilo.",10,23,38,43
"Yesterday, Today, biogas plant is sold for 46331 ₹.",18,30,43,48
Farmer purchased apples for 11197 INR.,17,23,28,33
"Yesterday, Purchased poultry feed at 32280 Rs..",21,33,37,42
"In the evening, Strawberry purchase came to 11356 rupees.",16,26,44,49
"Just now, Advance of 18773 ₹ paid for Beet root.",38,47,21,26
"Early morning, Bitter Gourd goes for 40244 rupees these days.",15,27,37,42
"In the evening, Bought Cucumber today and paid 41631 ₹.",23,31,47,52
"Just now, Advance of 1323 INR paid for papaya tree.",39,50,21,25
"Last month, For rose plants, the price was 11978 ₹.",16,27,43,48
"Just now, Paid 42129 INR to buy ginger.",32,38,15,20
"Earlier today, Advance of 33199 INR paid for Snake Gourd.",45,56,26,31
"In March, Sale price of tomato plants was 38425 rupees.",24,37,42,47
"Today, The bill for Bottle Gourd came to 7036 rupees.",20,32,41,45
"Last month, I spent 37156 Rs. on solar water pump last month.",33,49,20,25
"Recently, In the local market, rose plants is priced at 29350 INR.",31,42,56,61
"Early morning, Payment of 30027 INR was made for soil test kit.",49,62,26,31
"During the season, irrigation pipe purchase cost us 49466 rupees.",19,34,52,57
"In the evening, Used 48819 INR to buy Tomato.",38,44,21,26
"Just now, Amount paid for water trough was 9671 rupees.",26,38,43,47
"Earlier today, Harvested guava and sold for 48548 Rs..",25,30,44,49
"Early morning, I invested 3832 INR for buying hay bales.",46,55,26,30
"Early morning, Settled 22668 rupees for water trough purchase.",40,52,23,28
"Today, The cost of Brinjal is 34254 INR.",19,26,30,35
"Just now, Quoted price for Watermelon is 18666 ₹.",27,37,41,46
"In the evening, ₹32730 was given to buy Strawberry.",40,50,17,22
"Earlier today, Sale price of sunflower seeds was 18481 INR.",29,44,49,54
"Earlier today, Current rate of pumpkin seeds is 29352 rupees.",31,44,48,53
"In the evening, Fig is billed at 9951 rupees.",16,19,33,37
"In March, Settled 25069 rupees for fertilizer purchase.",35,45,18,23
"Earlier today, Used 17785 rupees to buy corn seeds.",40,50,20,25
"Today, We sold ghee for 35447 rupees today.",15,19,24,29
"On Monday, I gave 3618 Rs. as investment for Brinjal.",45,52,18,22
"Just now, Used 11042 ₹ to buy ghee.",30,34,15,20
"Today, pepper was sold for 14695 rupees yesterday.",7,13,27,32
"Just now, Purchased garlic bulbs at 31582 Rs..",20,32,36,41
"Earlier today, This season, I paid 28380 INR for goats.",49,54,35,40
Payment of 29042 INR was made for farm fencing.,34,46,11,16
"A week ago, Advance of 47399 Rs. paid for Jackfruit.",42,51,23,28
"During the season, Spent 6156 INR on purchasing Sweet Potato for my farm.",48,60,25,29
"During the season, Amount due for Strawberry is 25220 ₹.",34,44,48,53
"A week ago, Market sale of maize gave 35615 ₹.",27,32,38,43
"In March, banana plants goes for 27615 INR these days.",10,23,33,38
"A week ago, Mulberry was given for 6494 Rs. per kilo.",12,20,35,39
"A week ago, herbicide purchase came to 16985 ₹.",12,21,39,44
"During the season, avocados fetched 33348 rupees at the auction.",19,27,36,41
"Today, Settled 37616 rupees for seedling trays purchase.",32,46,15,20
"In the evening, The bill for sunflower seeds came to 23256 ₹.",29,44,53,58
"Last month, Received 5452 ₹ from selling Onion.",41,46,21,25
"Recently, Payment of 48447 rupees was made for dragon fruit.",47,59,21,26
"In March, Sale price of rotavator was 48114 INR.",24,33,38,43
"Today, In the local market, Apricot is priced at 34746 rupees.",28,35,49,54
"On Monday, Sale price of mulberry was 11119 Rs..",25,33,38,43
I invested 34223 Rs. for buying banana plants.,32,45,11,16
"Yesterday, Market sale of goat pen gave 25524 ₹.",26,34,40,45
"In the evening, Current rate of goat pen is 38281 ₹.",32,40,44,49
"Recently, The invoice for Radish shows 48298 INR.",26,32,39,44
"Recently, Acquired papaya tree by paying 23223 Rs..",19,30,41,46
"Earlier today, I invested 42455 ₹ for buying Guava.",45,50,26,31
"Today, Rs. 26122 was spent on Potato.",30,36,11,16
"Today, I spent 4741 rupees on eggplant saplings last month.",30,47,15,19
"Today, Market sale of beehives gave 22181 Rs..",22,30,36,41
"Last month, This season, I paid 11944 ₹ for drip irrigation system.",44,66,32,37
"A week ago, We bought Beetroot for 34105 INR at the weekly market.",22,30,35,40
"Early morning, Amount paid for figs was 17013 ₹.",31,35,40,45
"Yesterday, Market sale of milking machine gave 9951 INR.",26,41,47,51
"Recently, I had to pay 23620 rupees for tulip bulbs.",40,51,23,28
"Earlier today, Settled 42042 Rs. for rose plants purchase.",37,48,23,28
"Early morning, Settled 48235 rupees for rose plants purchase.",40,51,23,28
"Last month, Bought Peach today and paid 25607 INR.",19,24,40,45
"Yesterday, Peach is sold for 11471 Rs. today.",11,16,29,34
"Today, They charged 23639 rupees for butter.",37,43,20,25
"In March, Got 22216 ₹ for cocoa pods this morning.",26,36,14,19
"Today, I invested 34827 Rs. for buying sunflower seeds.",39,54,18,23
"Just now, Got 36120 rupees for coconut trees this morning.",31,44,14,19
"In March, Around noon, I spent 41150 ₹ on silo repair.",42,53,31,36
"On Monday, Settled 14779 rupees for Potato purchase.",36,42,19,24
"Last month, organic compost goes for 49375 INR these days.",12,27,37,42
"Recently, Today, tea leaves is sold for 41645 INR.",17,27,40,45
"Earlier today, Farmer purchased sprinkler system for 24296 INR.",32,48,53,58
"Early morning, We spent 44310 Rs. on cattle shed repair.",37,48,24,29
I gave 22230 ₹ as investment for Plum.,33,37,7,12
"Recently, Harvested maize and sold for 45012 ₹.",20,25,39,44
"In the evening, The expense for water trough was 31993 rupees.",32,44,49,54
They charged 28450 Rs. for poultry cage.,27,39,13,18
"Today, We sold chickens for 10140 INR today.",15,23,28,33
"Earlier today, The bill for solar water pump came to 17193 INR.",28,44,53,58
"On Monday, I invested 36024 Rs. for buying dragon fruit.",43,55,22,27
"Just now, Got 34206 INR for guava tree this morning.",28,38,14,19
"Recently, organic compost is sold for 33242 Rs. today.",10,25,38,43
"Early morning, Sale price of Lychee was 30449 rupees.",29,35,40,45
"In March, turmeric was given for 9301 INR per kilo.",10,18,33,37
